time	V(contra)	V(contrd)
0.000000000000000e+00	3.829077e+01	2.100000e+01
6.950553403424923e-03	3.799570e+01	2.100000e+01
1.390110680684985e-02	3.772725e+01	2.100000e+01
2.085166021027477e-02	3.748544e+01	2.100000e+01
2.780221361369969e-02	3.727025e+01	2.100000e+01
3.475276701712461e-02	3.708168e+01	2.100000e+01
4.170332042054953e-02	3.691975e+01	2.100000e+01
4.865387382397444e-02	3.678444e+01	2.100000e+01
5.304054341419671e-02	3.671884e+01	2.100000e+01
5.742721300441899e-02	3.666164e+01	2.100000e+01
6.181388259464127e-02	3.661283e+01	2.100000e+01
6.620055218486354e-02	3.657241e+01	2.100000e+01
7.058722177508581e-02	3.654038e+01	2.100000e+01
7.497389136530808e-02	3.651674e+01	2.100000e+01
7.936056095553035e-02	3.650150e+01	2.100000e+01
8.743029512730273e-02	3.648669e+01	2.100000e+01
8.743111432727955e-02	3.648669e+01	2.000000e+01
9.100291399769071e-02	3.649030e+01	2.000000e+01
9.457471366810187e-02	3.649580e+01	2.000000e+01
9.814651333851303e-02	3.650318e+01	2.000000e+01
1.017183130089242e-01	3.651245e+01	2.000000e+01
1.052901126793354e-01	3.652360e+01	2.000000e+01
1.088619123497465e-01	3.653664e+01	2.000000e+01
1.124337120201577e-01	3.655156e+01	2.000000e+01
1.124345312201345e-01	3.655156e+01	1.800000e+01
1.171774942859943e-01	3.657129e+01	1.800000e+01
1.171783134859711e-01	3.657130e+01	1.600000e+01
1.204512221934070e-01	3.658559e+01	1.600000e+01
1.204514269934012e-01	3.658559e+01	1.300000e+01
1.217198118718145e-01	3.659185e+01	1.300000e+01
1.229881967502279e-01	3.659798e+01	1.300000e+01
1.242565816286412e-01	3.660398e+01	1.300000e+01
1.255249665070546e-01	3.660985e+01	1.300000e+01
1.267933513854679e-01	3.661558e+01	1.300000e+01
1.280617362638812e-01	3.662119e+01	1.300000e+01
1.293301211422946e-01	3.662666e+01	1.300000e+01
1.342746074024550e-01	3.665275e+01	1.300000e+01
1.342754266024318e-01	3.665275e+01	1.200000e+01
1.399391996993923e-01	3.669527e+01	1.200000e+01
1.456029727963527e-01	3.673226e+01	1.200000e+01
1.512667458933131e-01	3.676372e+01	1.200000e+01
1.569305189902735e-01	3.678964e+01	1.200000e+01
1.625942920872340e-01	3.681003e+01	1.200000e+01
1.682580651841944e-01	3.682489e+01	1.200000e+01
1.739218382811548e-01	3.683422e+01	1.200000e+01
1.852226783495798e-01	3.683348e+01	1.200000e+01
1.887253459356570e-01	3.682676e+01	1.200000e+01
1.922280135217343e-01	3.681992e+01	1.200000e+01
1.957306811078116e-01	3.681296e+01	1.200000e+01
1.992333486938889e-01	3.680589e+01	1.200000e+01
2.027360162799662e-01	3.679869e+01	1.200000e+01
2.062386838660434e-01	3.679138e+01	1.200000e+01
2.097413514521207e-01	3.678394e+01	1.200000e+01
2.097419889092545e-01	3.678394e+01	1.000000e+01
2.170928258479415e-01	3.677676e+01	1.000000e+01
2.244436627866284e-01	3.676184e+01	1.000000e+01
2.317944997253154e-01	3.673920e+01	1.000000e+01
2.391453366640024e-01	3.670883e+01	1.000000e+01
2.464961736026893e-01	3.667073e+01	1.000000e+01
2.538470105413763e-01	3.662490e+01	1.000000e+01
2.611978474800632e-01	3.657135e+01	1.000000e+01
2.690643872400135e-01	3.651894e+01	1.000000e+01
2.769309269999638e-01	3.645888e+01	1.000000e+01
2.847974667599141e-01	3.639119e+01	1.000000e+01
2.926640065198644e-01	3.631584e+01	1.000000e+01
3.005305462798146e-01	3.623285e+01	1.000000e+01
3.083970860397649e-01	3.614222e+01	1.000000e+01
3.162636257997151e-01	3.604395e+01	1.000000e+01
3.214856746399981e-01	3.598542e+01	1.000000e+01
3.258132117572431e-01	3.593977e+01	1.000000e+01
3.258138492143769e-01	3.593977e+01	9.000000e+00
3.296227935289504e-01	3.590149e+01	9.000000e+00
3.308173681228002e-01	3.588958e+01	9.000000e+00
3.360923675514292e-01	3.583644e+01	9.000000e+00
3.409518781627939e-01	3.579116e+01	9.000000e+00
3.506708993855231e-01	3.568596e+01	9.000000e+00
3.701089418309816e-01	3.550433e+01	9.000000e+00
3.738031587997638e-01	3.547184e+01	9.000000e+00
3.774973757685461e-01	3.544004e+01	9.000000e+00
3.811915927373284e-01	3.540890e+01	9.000000e+00
3.848858097061106e-01	3.537844e+01	9.000000e+00
3.885800266748929e-01	3.534865e+01	9.000000e+00
3.922742436436751e-01	3.531953e+01	9.000000e+00
3.959684606124574e-01	3.529109e+01	9.000000e+00
3.959688713156970e-01	3.529109e+01	8.000000e+00
4.017401905830758e-01	3.525131e+01	8.000000e+00
4.075115098504545e-01	3.521660e+01	8.000000e+00
4.132828291178333e-01	3.518696e+01	8.000000e+00
4.190541483852120e-01	3.516237e+01	8.000000e+00
4.248254676525908e-01	3.514285e+01	8.000000e+00
